date,fips,cumulative_cases,new_cases
2020-03-04,48001,0,NA
2020-03-05,48001,0,0
2020-03-06,48001,0,0
2020-03-07,48001,0,0
2020-03-08,48001,0,0
2020-03-09,48001,0,0
2020-03-10,48001,0,0
2020-03-11,48001,0,0
2020-03-12,48001,0,0
2020-03-13,48001,0,0
2020-03-14,48001,0,0
2020-03-15,48001,0,0
2020-03-16,48001,0,0
2020-03-17,48001,0,0
2020-03-18,48001,0,0
2020-03-19,48001,0,0
2020-03-20,48001,0,0
2020-03-21,48001,0,0
2020-03-22,48001,0,0
2020-03-23,48001,0,0
2020-03-24,48001,0,0
2020-03-25,48001,0,0
2020-03-26,48001,0,0
2020-03-27,48001,0,0
2020-03-28,48001,0,0
2020-03-29,48001,0,0
2020-03-30,48001,0,0
2020-03-31,48001,0,0
2020-04-01,48001,1,1
2020-04-02,48001,1,0
2020-04-03,48001,1,0
2020-04-04,48001,1,0
2020-04-05,48001,1,0
2020-04-06,48001,1,0
2020-04-07,48001,1,0
2020-04-08,48001,1,0
2020-04-09,48001,2,1
2020-04-10,48001,2,0
2020-04-11,48001,3,1
2020-04-12,48001,3,0
2020-04-13,48001,3,0
2020-04-14,48001,3,0
2020-04-15,48001,4,1
2020-04-16,48001,6,2
2020-04-17,48001,6,0
2020-04-18,48001,6,0
2020-04-19,48001,8,2
2020-04-20,48001,8,0
2020-04-21,48001,10,2
2020-04-22,48001,14,4
2020-04-23,48001,14,0
2020-04-24,48001,16,2
2020-04-25,48001,16,0
2020-04-26,48001,18,2
2020-04-27,48001,19,1
2020-04-28,48001,23,4
2020-04-29,48001,23,0
2020-04-30,48001,29,6
2020-05-01,48001,30,1
2020-05-02,48001,32,2
2020-05-03,48001,32,0
2020-05-04,48001,32,0
2020-05-05,48001,34,2
2020-05-06,48001,38,4
2020-05-07,48001,40,2
2020-05-08,48001,41,1
2020-05-09,48001,41,0
2020-05-10,48001,41,0
2020-05-11,48001,41,0
2020-05-12,48001,50,9
2020-05-13,48001,50,0
2020-05-14,48001,51,1
2020-05-15,48001,52,1
2020-05-16,48001,54,2
2020-05-17,48001,54,0
2020-05-18,48001,54,0
2020-05-19,48001,60,6
2020-05-20,48001,61,1
2020-05-21,48001,63,2
2020-05-22,48001,64,1
